"ReportId","Report","Folder","ReportType","Fields"
"00OPx000003cr6PMAQ","Copy of Pardot Form Completions - Scored","00lTm000000Ma85IAC","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000003prrlMAA","All Pardot Form Completions - Non Asia","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000003vhsvMAA","PFC - 15/01/25-15/01/26 - All open forms","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx00000484H3MAI","Pardot Form Completions - Disqualified","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx00000485UrMAI","Pardot Form Completions: % Closed Won","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx0000048OMDMA2","Copy of % sales stage 3","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx0000048RITMA2","Copy of All Pardot Form Completions: Wit","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx0000048RvBMAU","Copy of All Pardot Form Completions: Wit","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx0000048S9hMAE","Copy of All Pardot Form Completions - Re","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx0000048x5RMAQ","Open Lex PRO leads 2026","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004EeGDMA0","Lexology PRO - Marketing opps - US","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004flblMAA","PFC - Lexology Marketing","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JbcfMAC","LexPRO Working Pardot Form Com","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JbJJMA0","LexPRO Nurture Pardot Form Com","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JbMXMA0","LexPRO New Pardot Form Com","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JipSMAS","Form Pardot - UK Lexology PRO","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004Jl7NMAS","Form completions by Rep","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JlLtMAK","Pardot Form Completions -PRO UK","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JYbaMAG","Pardot Form Completions - Disqualified","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004JYQIMA4","LexPRO Converted Pardot Form Completions","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004K985MAC","Lex PRO forms - 2026 - Jose Villegas","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004LAq5MAG","LexPRO Total Pardot Form SDR","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004N7WLMA0","Lex Pro New Pardot Form - CDS Team","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004nJf8MAE","All PFC - Disqual - Personal","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004PKcLMAW","Speed of Lead to Opp before 7 April","00lPx000000WXwvIAG","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004PLJtMAO","Speed of Lead to Opp After 7 Apr","00lPx000000WXwvIAG","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004QwFlMAK","ALM Event Pardot Form Completions - Re","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004QwXVMA0","ALM EVT All Pardot Form Completions: % w","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004QxLVMA0","ALM EVT % sales stage 3","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S5nFMAS","ALM EVT Pardot Form Completions - Closed","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S5orMAC","ALM EVT  All Pardot Form Completions-Opp","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S5qTMAS","ALM EVT All Pardot Form Completions - Cl","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S69pMAC","ALM EVT  All Pardot Form Completions","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S8hvMAC","ALM EVT All Pardot Form Completions with","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S9ajMAC","ALM EVT All Pardot Form Completions - KF","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004S9R3MAK","ALM EVT All Pardot Form Completions with","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004TZuXMAW","ALM EVT PardotForm Completions: With Opp","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004TZzNMAW","ALMEVT  Form Completions: With Sales","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004Xb3JMAS","Sales stage % - 2026 - Form Fill","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OPx000004Xr85MAC","Speed of Lead to Opp After 1st April","00lPx000000buODIAY","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000008B4jMAE","Copy of All Pardot Form Completions - GX","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fp09MAA","Pardot Form Completions -Regress MA Copy","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fpGHMAY","Pardot Form Completions: With Opps MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fpWPMAY","Pardot Form Completions: With Sales MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fqkDMAQ","% sales stage 3 MA Copy","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fqXJMAY","All Pardot Form Completions: % won MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fqyjMAA","Pardot Form Completions - Closed WonÂ£ MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fr5BMAQ","Pardot Form Completions-Opp conv avg MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000frA1MAI","Pardot Form Completions - Closed Won MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000frBdMAI","All Pardot Form Completions MA Copy","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000frunMAA","All Pardot Form Completions with % MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fry1MAA","All Pardot Form Completion By Country MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fs1FMAQ","Pardot Form Completions By Org Type MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000fs2rMAA","Pardot Form Completions By Job Title MA","00l4L000000lPrDQAU","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000000VVKTMA4","All Pardot Form Completions Oceania","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001fZcLMAU","Lead Scoring form completions","00D6g0000081IOgEAM","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001VVOjMAO","Pardot Form Completions - AM View","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z18NMAQ","PFC with %: Scored Leads","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z22jMAA","Pardot Form Completions - Scored Leads","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z24LMAQ","Pardot Form Completions: LS: With opps","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z27ZMAQ","Pardot Form Completions: LS: % won","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z2AnMAI","PFC: Scored Leads: % sales stage","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z2dpMAA","All Pardot Form Completions - LS","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z2E1MAI","PFC: LS: Opp Conv avg","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000001z2FdMAI","PFC: Scored Leads: - Closed Won","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020F5xMAE","All PFC: Scored Leads - With sales","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020FifMAE","PFC's  - Scored Leads - Closed Won Â£","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020FnVMAU","All PFC'S Scored Leads","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020G0PMAU","All PFC - Scored Leads - Conv to opp","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020GA5MAM","All PFC: Scored Leads By Job Title","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000020GBhMAM","All PFC's: Scored Leads By Country","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm0000027Dk9MAE","All PFC's with sales: Scored leads","00lTm000000NIPFIA4","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000002DfKLMA0","Lexology PRO - Marketing opportunities","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000002hLT3MAM","All open Lexology PRO - Marketing opps","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000002tewXMAQ","Lexology PRO - Marketing leads with opps","00l4L000000d3KpQAI","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
"00OTm000002uCdFMAU","All Pardot Form Completions By Industry","00l4L0000019j3lQAA","Custom_Pardot_Form_Completions_with_Opps__c","Closed_Won__c"
